"id","transfer_id/id","remote_source_field","local_target_field_id/id","relational_migration_method","remote_identifier_field","local_identifier_field_id/id","manual_id_mappings","skip_relational_errors","one2many_template_id/id","related_model"
"odoo_2_odoo_data_transfer.tmpl_line_ok1","odoo_2_odoo_data_transfer.template_ok","name","base.field_res_partner__name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_ok2","odoo_2_odoo_data_transfer.template_ok","is_company","base.field_res_partner__is_company","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_ok3","odoo_2_odoo_data_transfer.template_ok","type","base.field_res_partner__type","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_ok4","odoo_2_odoo_data_transfer.template_ok","vat","base.field_res_partner__vat","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_ok5","odoo_2_odoo_data_transfer.template_ok","email","base.field_res_partner__email","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation1","odoo_2_odoo_data_transfer.template_validation","name","base.field_res_partner__name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation2","odoo_2_odoo_data_transfer.template_validation","is_company","base.field_res_partner__is_company","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation3","odoo_2_odoo_data_transfer.template_validation","type","base.field_res_partner__type","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation4","odoo_2_odoo_data_transfer.template_validation","vat","base.field_res_partner__vat","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation5","odoo_2_odoo_data_transfer.template_validation","email","base.field_res_partner__email","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation6","odoo_2_odoo_data_transfer.template_validation","company_id","base.field_res_partner__company_name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_validation7","odoo_2_odoo_data_transfer.template_validation","parent_id","base.field_res_partner__parent_id","Match Keys","name","base.field_res_partner__id","{}","","","res.partner"
"odoo_2_odoo_data_transfer.tmpl_line_missing1","odoo_2_odoo_data_transfer.template_missing","name","base.field_res_partner__name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_missing2","odoo_2_odoo_data_transfer.template_missing","is_company","base.field_res_partner__is_company","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_missing3","odoo_2_odoo_data_transfer.template_missing","type","base.field_res_partner__type","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_missing4","odoo_2_odoo_data_transfer.template_missing","vat","base.field_res_partner__vat","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_missing5","odoo_2_odoo_data_transfer.template_missing","email","base.field_res_partner__email","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_missing6","odoo_2_odoo_data_transfer.template_missing","parent_id","base.field_res_partner__parent_id","Map Ids","","","{1:99999, 2:99999}","","","res.partner"
"odoo_2_odoo_data_transfer.tmpl_line_one2many_childs1","odoo_2_odoo_data_transfer.template_one2many_childs","name","base.field_res_partner__name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many_childs2","odoo_2_odoo_data_transfer.template_one2many_childs","is_company","base.field_res_partner__is_company","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many_childs3","odoo_2_odoo_data_transfer.template_one2many_childs","type","base.field_res_partner__type","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many_childs4","odoo_2_odoo_data_transfer.template_one2many_childs","vat","base.field_res_partner__vat","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many_childs5","odoo_2_odoo_data_transfer.template_one2many_childs","email","base.field_res_partner__email","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many1","odoo_2_odoo_data_transfer.template_one2many","name","base.field_res_partner__name","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many2","odoo_2_odoo_data_transfer.template_one2many","is_company","base.field_res_partner__is_company","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many3","odoo_2_odoo_data_transfer.template_one2many","type","base.field_res_partner__type","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many4","odoo_2_odoo_data_transfer.template_one2many","vat","base.field_res_partner__vat","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many5","odoo_2_odoo_data_transfer.template_one2many","email","base.field_res_partner__email","Match Keys","","","{}","","",""
"odoo_2_odoo_data_transfer.tmpl_line_one2many6","odoo_2_odoo_data_transfer.template_one2many","child_ids","base.field_res_partner__child_ids","Match Keys","","","{}","","odoo_2_odoo_data_transfer.template_one2many_childs","res.partner"
